Neighbor info at step 73000: radial(max=144,actual=139), angular(max=24,actual=30).
Neighbor info at step 74000: radial(max=144,actual=135), angular(max=24,actual=29).
Neighbor info at step 75000: radial(max=144,actual=139), angular(max=24,actual=31).
Neighbor info at step 76000: radial(max=144,actual=141), angular(max=24,actual=32).
Neighbor info at step 77000: radial(max=144,actual=143), angular(max=24,actual=29).
Neighbor info at step 78000: radial(max=144,actual=138), angular(max=24,actual=29).
Neighbor info at step 79000: radial(max=144,actual=140), angular(max=24,actual=29).
Neighbor info at step 80000: radial(max=144,actual=136), angular(max=24,actual=27).
Neighbor info at step 81000: radial(max=144,actual=136), angular(max=24,actual=32).
Neighbor info at step 82000: radial(max=144,actual=139), angular(max=24,actual=31).
Neighbor info at step 83000: radial(max=144,actual=140), angular(max=24,actual=31).
Neighbor info at step 84000: radial(max=144,actual=142), angular(max=24,actual=31).
Neighbor info at step 85000: radial(max=144,actual=143), angular(max=24,actual=30).
Neighbor info at step 86000: radial(max=144,actual=144), angular(max=24,actual=32).
Neighbor info at step 87000: radial(max=144,actual=145), angular(max=24,actual=31).
Neighbor info at step 88000: radial(max=144,actual=143), angular(max=24,actual=29).
Neighbor info at step 89000: radial(max=144,actual=143), angular(max=24,actual=29).
Neighbor info at step 90000: radial(max=144,actual=146), angular(max=24,actual=30).
Neighbor info at step 91000: radial(max=144,actual=150), angular(max=24,actual=29).
Neighbor info at step 92000: radial(max=144,actual=147), angular(max=24,actual=30).
Neighbor info at step 93000: radial(max=144,actual=151), angular(max=24,actual=30).
Neighbor info at step 94000: radial(max=144,actual=146), angular(max=24,actual=31).
Neighbor info at step 95000: radial(max=144,actual=149), angular(max=24,actual=29).
Neighbor info at step 96000: radial(max=144,actual=149), angular(max=24,actual=30).
Neighbor info at step 97000: radial(max=144,actual=151), angular(max=24,actual=31).
Neighbor info at step 98000: radial(max=144,actual=150), angular(max=24,actual=30).
Neighbor info at step 99000: radial(max=144,actual=151), angular(max=24,actual=31).
Neighbor info at step 100000: radial(max=144,actual=151), angular(max=24,actual=32).
Neighbor info at step 101000: radial(max=144,actual=148), angular(max=24,actual=30).
