Neighbor info at step 124000: radial(max=144,actual=110), angular(max=24,actual=16).
Neighbor info at step 125000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 126000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 127000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 128000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 129000: radial(max=144,actual=109), angular(max=24,actual=14).
Neighbor info at step 130000: radial(max=144,actual=112), angular(max=24,actual=17).
Neighbor info at step 131000: radial(max=144,actual=108), angular(max=24,actual=16).
Neighbor info at step 132000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 133000: radial(max=144,actual=108), angular(max=24,actual=17).
Neighbor info at step 134000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 135000: radial(max=144,actual=110), angular(max=24,actual=16).
Neighbor info at step 136000: radial(max=144,actual=109), angular(max=24,actual=14).
Neighbor info at step 137000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 138000: radial(max=144,actual=110), angular(max=24,actual=16).
Neighbor info at step 139000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 140000: radial(max=144,actual=111), angular(max=24,actual=17).
Neighbor info at step 141000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 142000: radial(max=144,actual=112), angular(max=24,actual=15).
Neighbor info at step 143000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 144000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 145000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 146000: radial(max=144,actual=112), angular(max=24,actual=15).
Neighbor info at step 147000: radial(max=144,actual=112), angular(max=24,actual=14).
Neighbor info at step 148000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 149000: radial(max=144,actual=111), angular(max=24,actual=15).
Neighbor info at step 150000: radial(max=144,actual=111), angular(max=24,actual=15).
Neighbor info at step 151000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 152000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 153000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 154000: radial(max=144,actual=111), angular(max=24,actual=17).
Neighbor info at step 155000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 156000: radial(max=144,actual=108), angular(max=24,actual=16).
Neighbor info at step 157000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 158000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 159000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 160000: radial(max=144,actual=112), angular(max=24,actual=15).
Neighbor info at step 161000: radial(max=144,actual=112), angular(max=24,actual=15).
Neighbor info at step 162000: radial(max=144,actual=108), angular(max=24,actual=15).
Neighbor info at step 163000: radial(max=144,actual=111), angular(max=24,actual=14).
Neighbor info at step 164000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 165000: radial(max=144,actual=110), angular(max=24,actual=16).
Neighbor info at step 166000: radial(max=144,actual=108), angular(max=24,actual=16).
Neighbor info at step 167000: radial(max=144,actual=108), angular(max=24,actual=14).
Neighbor info at step 168000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 169000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 170000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 171000: radial(max=144,actual=107), angular(max=24,actual=16).
Neighbor info at step 172000: radial(max=144,actual=111), angular(max=24,actual=15).
